sample_id,num_reads_polya
HPGL0366,33613
HPGL0368,32463
HPGL0370,30824
HPGL0372,24633
HPGL0376,14591
HPGL0378,5947
HPGL0380,10811
HPGL0382,9305
HPGL0399,4760
HPGL0401,5593
HPGL0403,5544
HPGL0405,6065
HPGL0459,33959
HPGL0463,42764
HPGL0467,35550
HPGL0497,6157
HPGL0501,3679
HPGL0505,2773
HPGL0509,2463
HPGL0364,76128
HPGL0374,35922
HPGL0397,30250
HPGL0456,107335
HPGL0494,123633
HPGL0363,102440
HPGL0373,51704
HPGL0396,44820
HPGL0455,119754
HPGL0493,128703
