sample_id,num_reads_host
HPGL0366,55325436
HPGL0368,49226422
HPGL0370,56863894
HPGL0372,50065510
HPGL0376,52968024
HPGL0378,51966678
HPGL0380,48214120
HPGL0382,48206146
HPGL0399,70450674
HPGL0401,63765986
HPGL0403,75989412
HPGL0405,59673744
HPGL0459,52940958
HPGL0463,54266494
HPGL0467,55983132
HPGL0497,72794682
HPGL0501,70079456
HPGL0505,77027578
HPGL0509,54718432
