sample_id,num_reads_total
HPGL0054,50600415
HPGL0056,28461756
HPGL0058,24173775
HPGL0059,52831071
HPGL0060,28358507
HPGL0061,32118362
HPGL0064,68567199
HPGL0066,77246439
HPGL0068,43509132
HPGL0070,43739245
HPGL0072,38304101
HPGL0112,48297890
HPGL0113,54865788
HPGL0114,47259367
HPGL0115,45760470
HPGL0116,38610463
HPGL0117,36227243
HPGL0256,44482361
HPGL0258,37558871
HPGL0252,32262606
HPGL0253,28976507
HPGL0254,25518752
HPGL0062,51858223
HPGL0249,28995362
HPGL0250,27101278
HPGL0251,26630422
