sample_id,num_reads_parasite
HPGL0056,2783534
HPGL0058,6062309
HPGL0060,2833027
HPGL0061,7840526
HPGL0064,1055529
HPGL0066,1242564
HPGL0068,696602
HPGL0070,1841806
HPGL0072,5239348
HPGL0112,1105624
HPGL0113,752388
HPGL0114,1054523
HPGL0115,796050
HPGL0116,1453670
HPGL0117,1866819
HPGL0256,3222990
HPGL0258,7329625
HPGL0252,13951861
HPGL0253,12715356
HPGL0254,10725517
HPGL0062,25027749
HPGL0249,14390556
HPGL0250,13621387
HPGL0251,13082394
