sample_id,num_reads_sl
HPGL0366,646653
HPGL0368,486175
HPGL0370,311453
HPGL0372,532248
HPGL0376,1547527
HPGL0378,796334
HPGL0380,1104682
HPGL0382,1031328
HPGL0399,643412
HPGL0401,773284
HPGL0403,877319
HPGL0405,590937
HPGL0459,432407
HPGL0463,522634
HPGL0467,608155
HPGL0497,147526
HPGL0501,184419
HPGL0505,99915
HPGL0509,88250
HPGL0364,2191799
HPGL0374,3314330
HPGL0397,1748839
HPGL0456,1017065
HPGL0494,3208785
HPGL0363,5050099
HPGL0373,6743134
HPGL0396,5020131
HPGL0455,1829042
HPGL0493,5004573
