sample_id,num_reads_host
HPGL0366,27662718
HPGL0368,24613211
HPGL0370,28431947
HPGL0372,25032755
HPGL0376,26484012
HPGL0378,25983339
HPGL0380,24107060
HPGL0382,24103073
HPGL0399,35225337
HPGL0401,31882993
HPGL0403,37994706
HPGL0405,29836872
HPGL0459,26470479
HPGL0463,27133247
HPGL0467,27991566
HPGL0497,36397341
HPGL0501,35039728
HPGL0505,38513789
HPGL0509,27359216
